Source,SourceFile,SourceCreated,SourceModified,SourceAccessed,Filename,RecordNumber,EventRecordId,TimeCreated,EventId,Level,Provider,Channel,ProcessId,ThreadId,Computer,ChunkNumber,UserId,MapDescription,UserName,RemoteHost,PayloadData1,PayloadData2,PayloadData3,PayloadData4,PayloadData5,PayloadData6,ExecutableInfo,HiddenRecord,Keywords,ExtraDataOffset,Payload,BagPath,Slot,NodeSlot,MRUPosition,AbsolutePath,ShellType,Value,ChildBags,CreatedOn,ModifiedOn,AccessedOn,LastWriteTime,MFTEntry,MFTSequenceNumber,ExtensionBlockCount,FirstInteracted,LastInteracted,HasExplored,Miscellaneous
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,367.0,367.0,2025-01-17 08:36:45.0000000,300.0,Info,ESENT,Application,0.0,0.0,WIN-FQNIHI9MJ12,3.0,,,,,,,,,,,,False,0x80000000000000,0.0,"{""EventData"":{""Data"":""Windows, 1732, Windows: "",""Binary"":""""}}",,,,,,,,,,,,,,,,,,,
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,368.0,368.0,2025-01-17 08:36:45.0000000,301.0,Info,ESENT,Application,0.0,0.0,WIN-FQNIHI9MJ12,3.0,,,,,,,,,,,,False,0x80000000000000,0.0,"{""EventData"":{""Data"":""Windows, 1732, Windows: , C:\\ProgramData\\Microsoft\\Search\\Data\\Applications\\Windows\\MSS00001.log"",""Binary"":""""}}",,,,,,,,,,,,,,,,,,,
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,369.0,369.0,2025-01-17 08:36:45.0000000,301.0,Info,ESENT,Application,0.0,0.0,WIN-FQNIHI9MJ12,3.0,,,,,,,,,,,,False,0x80000000000000,0.0,"{""EventData"":{""Data"":""Windows, 1732, Windows: , C:\\ProgramData\\Microsoft\\Search\\Data\\Applications\\Windows\\MSS00002.log"",""Binary"":""""}}",,,,,,,,,,,,,,,,,,,
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,370.0,370.0,2025-01-17 08:36:45.0000000,301.0,Info,ESENT,Application,0.0,0.0,WIN-FQNIHI9MJ12,3.0,,,,,,,,,,,,False,0x80000000000000,0.0,"{""EventData"":{""Data"":""Windows, 1732, Windows: , C:\\ProgramData\\Microsoft\\Search\\Data\\Applications\\Windows\\MSS.log"",""Binary"":""""}}",,,,,,,,,,,,,,,,,,,
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,371.0,371.0,2025-01-17 08:36:45.0000000,302.0,Info,ESENT,Application,0.0,0.0,WIN-FQNIHI9MJ12,3.0,,,,,,,,,,,,False,0x80000000000000,0.0,"{""EventData"":{""Data"":""Windows, 1732, Windows: "",""Binary"":""""}}",,,,,,,,,,,,,,,,,,,
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,372.0,372.0,2025-01-17 08:36:45.0000000,1003.0,Info,Microsoft-Windows-Search,Application,0.0,0.0,WIN-FQNIHI9MJ12,3.0,,,,,,,,,,,,False,0x80000000000000,0.0,"{""EventData"":{""Data"":{""@Name"":""ExtraInfo"",""#text"":"", ""}}}",,,,,,,,,,,,,,,,,,,
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,373.0,373.0,2025-01-17 08:38:26.0000000,10.0,Error,Microsoft-Windows-WMI,Application,0.0,0.0,WIN-FQNIHI9MJ12,3.0,,,,,,,,,,,,False,0x80000000000000,0.0,"{""EventData"":{""Data"":""//./root/CIMV2, SELECT * FROM __InstanceModificationEvent WITHIN 60 WHERE TargetInstance ISA \""Win32_Processor\"" AND TargetInstance.LoadPercentage &gt; 99, 0x80041003"",""Binary"":""""}}",,,,,,,,,,,,,,,,,,,
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,374.0,374.0,2025-01-17 08:38:39.0000000,900.0,Info,Microsoft-Windows-Security-SPP,Application,0.0,0.0,WIN-FQNIHI9MJ12,3.0,,,,,,,,,,,,False,0x80000000000000,0.0,"{""EventData"":{""Data"":"""",""Binary"":""""}}",,,,,,,,,,,,,,,,,,,
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,375.0,375.0,2025-01-17 08:38:39.0000000,1.0,Info,SecurityCenter,Application,0.0,0.0,WIN-FQNIHI9MJ12,3.0,,,,,,,,,,,,False,0x80000000000000,0.0,"{""EventData"":{""Data"":"""",""Binary"":""""}}",,,,,,,,,,,,,,,,,,,
EvtxCmd,C:\Users\4n6\Desktop\MP2\Input2\Application.evtx,,,,,376.0,376.0,2025-01-17 08:38:40.0000000,1066.0,Info,Microsoft-Windows-Security-SPP,Application,0.0,0.0,WIN-FQNIHI9MJ12,3.0,,,,,,,,,,,,False,0x80000000000000,0.0,"{""EventData"":{""Data"":""C:\\Windows\\system32\\sppwinob.dll, msft:spp/windowsfunctionality/agent/7.0, 0x00000000, 0x00000000\nC:\\Windows\\system32\\sppobjs.dll, msft:rm/algorithm/phone/1.0, 0x00000000, 0x00000000\nC:\\Windows\\system32\\sppobjs.dll, msft:rm/algorithm/pkey/2005, 0x00000000, 0x00000000\nC:\\Windows\\system32\\sppobjs.dll, msft:spp/TaskScheduler/1.0, 0x00000000, 0x00000000\nC:\\Windows\\system32\\sppobjs.dll, msft:spp/volume/services/kms/1.0, 0x00000000, 0x00000000\nC:\\Windows\\system32\\sppobjs.dll, msft:spp/volume/services/kms/licenserenewal/1.0, 0x00000000, 0x00000000\n"",""Binary"":""""}}",,,,,,,,,,,,,,,,,,,
